date_daily,path_intra_wide
02feb2000,.0008308
21mar2000,.0056992
16may2000,.0430389
28jun2000,-.0126322
22aug2000,.014964
03oct2000,.0286143
15nov2000,.0078881
19dec2000,.0281693
31jan2001,.001645
20mar2001,-.0701219
15may2001,-.0952495
27jun2001,.062581
21aug2001,-.016669
02oct2001,-.0393187
06nov2001,-.1074802
11dec2001,-.0401457
30jan2002,.0256809
19mar2002,-.0423784
07may2002,-.0171498
26jun2002,.0141912
13aug2002,-.0537513
24sep2002,.0026578
06nov2002,-.0811143
10dec2002,.0197528
29jan2003,.0333455
18mar2003,.0032819
06may2003,-.0400162
25jun2003,.1020654
12aug2003,-.014672
16sep2003,.0036688
28oct2003,-.0468256
09dec2003,.0263084
28jan2004,.0848413
16mar2004,-.0295025
04may2004,.0096208
30jun2004,-.0051865
10aug2004,.0313785
21sep2004,-.0002209
10nov2004,-.0086397
14dec2004,-.0003095
02feb2005,-.0062669
22mar2005,.047054
03may2005,.0191051
30jun2005,.030663
09aug2005,-.0065622
20sep2005,.0252495
01nov2005,.0120681
13dec2005,-.0084734
31jan2006,.0257879
28mar2006,.038131
10may2006,.0398945
29jun2006,-.0190339
08aug2006,-.0176003
20sep2006,.0153244
25oct2006,-.0002077
12dec2006,-.0135643
31jan2007,-.0002237
21mar2007,-.0426143
09may2007,.0287067
28jun2007,.0132683
07aug2007,-.0072766
18sep2007,-.1323207
31oct2007,.0490814
11dec2007,.0327106
30jan2008,-.0731878
18mar2008,.0381265
30apr2008,-.0500443
25jun2008,-.0219068
12aug2009,-.0040691
23sep2009,-.0518597
04nov2009,-.0049911
16dec2009,.006277
27jan2010,.0212716
16mar2010,-.0183998
28apr2010,.0004841
23jun2010,.009309
10aug2010,-.0092416
21sep2010,.0009402
03nov2010,.0060023
14dec2010,.0052774
26jan2011,.0020455
15mar2011,.0064044
27apr2011,-.0040784
22jun2011,.0087453
09aug2011,-.0098005
21sep2011,.0388016
02nov2011,.0119451
13dec2011,.0113382
25jan2012,-.0051741
13mar2012,.0133992
25apr2012,.0042707
20jun2012,.0173637
01aug2012,.0169816
13sep2012,.0159758
24oct2012,.0038049
12dec2012,.0059756
30jan2013,.001356
20mar2013,-.0000599
01may2013,.0046244
19jun2013,.0187323
31jul2013,.0036962
18sep2013,-.0061215
30oct2013,.0036962
18dec2013,.0071432
29jan2014,.0077151
19mar2014,.0154908
